,Date,Close,MA5,MA20,BB_upper,BB_lower
76,2009-08-17,-0.5745523498811991,-0.38227967330106677,-0.3784430477115317,-0.42805429398009626,-0.3206882908882943
77,2009-08-18,-0.5689539424016485,-0.4075138065179502,-0.36518368032197873,-0.4481863841149107,-0.27316581226674896
78,2009-08-19,-0.5877593146834732,-0.4500854513432815,-0.35276347938135255,-0.4767182143090463,-0.21865848897464768
79,2009-08-20,-0.35175497070876255,-0.45553429430546005,-0.33516315568554644,-0.46433785364028984,-0.19596902877662906
80,2009-08-21,-0.35175497070876255,-0.45433958106674666,-0.32471892634323074,-0.44615228941791735,-0.1937007416398783
81,2009-08-24,-0.2323173307653104,-0.3848729418673168,-0.30792730122270406,-0.40382119743925643,-0.20357854311494536
82,2009-08-25,-0.19441855816834902,-0.30884999579018096,-0.28388037858579135,-0.36564261416254884,-0.19454232977651037
83,2009-08-26,-0.24279682400022856,-0.238829736205011,-0.2596503858010929,-0.3560693898863289,-0.15558963624684977
84,2009-08-27,-0.2706464963967821,-0.2223663914087888,-0.24407177933171825,-0.3410401129798736,-0.1397115757598835
85,2009-08-28,-0.2894518686786067,-0.20972014871593098,-0.22751665268198615,-0.33739223509722366,-0.11010887224040705
86,2009-08-31,-0.33366746982294115,-0.23029213331562734,-0.2202995349459012,-0.3317995875102014,-0.10133792493204642
87,2009-09-01,-0.4185082157879553,-0.2757777047057184,-0.21875081466105786,-0.3315871924111905,-0.0984355078976816
88,2009-09-02,-0.4579856458499406,-0.3194565903025278,-0.21732417035317167,-0.3324205695194382,-0.09469894939395207
89,2009-09-03,-0.3932420009421005,-0.3443409452224954,-0.2118617158637753,-0.3334119833801742,-0.08266403182094359
90,2009-09-04,-0.33897839894099885,-0.3543938077770791,-0.208657477071605,-0.32979199591319475,-0.07994435020635554
91,2009-09-08,-0.3774515785891277,-0.36328107739135346,-0.20712406375300332,-0.3287706740258392,-0.0779083562489831
92,2009-09-09,-0.30064923330952714,-0.33935813860679653,-0.1994720704320974,-0.3215560713166289,-0.069936188944214
93,2009-09-10,-0.20059137269906602,-0.2871124182501763,-0.19004251183867435,-0.29980245563927227,-0.07339877066759029
94,2009-09-11,-0.1833646578822654,-0.24451165312644094,-0.18252018955431137,-0.27945158159941735,-0.07925689226035332
95,2009-09-14,-0.14058534920175672,-0.20424196231130012,-0.1709849883260338,-0.250153884591828,-0.08626760093436991
96,2009-09-15,-0.10584499087848191,-0.14911143568832214,-0.14607599721436584,-0.2303410700634504,-0.05652305288236333
97,2009-09-16,0.04847647173308288,-0.07824612958933051,-0.11326326576829183,-0.177565339204497,-0.04489520175372238
98,2009-09-17,0.09771607330580144,-0.017695880302578022,-0.07683435118282099,-0.12940019913447415,-0.02121565154017387
99,2009-09-18,0.09771607330580144,0.039357701735272636,-0.05294765509139955,-0.0699121149705825,-0.03451372889643857
100,2009-09-21,0.17351306882790385,0.10311319214284541,-0.025032802301588802,-0.0005227403692454418,-0.04991949974478496
